"TransferWise ID",Date,"Date Time",Amount,Currency,Description,"Payment Reference","Running Balance","Exchange From","Exchange To","Exchange Rate","Payer Name","Payee Name","Payee Account Number",Merchant,"Card Last Four Digits","Card Holder Full Name",Attachment,Note,"Total fees","Exchange To Amount","Transaction Type","Transaction Details Type"
BALANCE-943474604,03-04-2023,"03-04-2023 03:26:07.672",-656.51,BRL,"669,64 BRL convertidos para 120,00 EUR (fee: 13,13 BRL)",,826.45,BRL,EUR,0.18279,,,,,,,,,13.13,120.00,DEBIT,CONVERSION
FEE-BALANCE-943474604,03-04-2023,"03-04-2023 03:26:07.671",-13.13,BRL,"Wise Charges for: BALANCE-943474604",,1482.96,,,,,,,,,,,,0,,DEBIT,CONVERSION
BALANCE-943427597,03-04-2023,"03-04-2023 02:52:35.255",-273.29,BRL,"278,76 BRL convertidos para 50,00 EUR (fee: 5,47 BRL)",,1496.09,BRL,EUR,0.18296,,,,,,,,,5.47,50.00,DEBIT,CONVERSION
FEE-BALANCE-943427597,03-04-2023,"03-04-2023 02:52:35.254",-5.47,BRL,"Wise Charges for: BALANCE-943427597",,1769.38,,,,,,,,,,,,0,,DEBIT,CONVERSION
BALANCE-939056156,31-03-2023,"31-03-2023 14:36:24.079",-6056.77,BRL,"6.177,90 BRL convertidos para 1.100,00 EUR (fee: 121,13 BRL)",,1774.85,BRL,EUR,0.18162,,,,,,,,,121.13,1100.00,DEBIT,CONVERSION
FEE-BALANCE-939056156,31-03-2023,"31-03-2023 14:36:24.078",-121.13,BRL,"Wise Charges for: BALANCE-939056156",,7831.62,,,,,,,,,,,,0,,DEBIT,CONVERSION
TRANSFER-647674641,31-03-2023,"31-03-2023 14:10:40.762",3000.00,BRL,"Dinheiro adicionado à conta",,7952.75,,,,,,,,,,,,0.00,,CREDIT,MONEY_ADDED
BALANCE-936729077,30-03-2023,"30-03-2023 13:10:22.394",-2788.20,BRL,"2.843,96 BRL convertidos para 500,00 EUR (fee: 55,76 BRL)",,4952.75,BRL,EUR,0.17933,,,,,,,,,55.76,500.00,DEBIT,CONVERSION
FEE-BALANCE-936729077,30-03-2023,"30-03-2023 13:10:22.393",-55.76,BRL,"Wise Charges for: BALANCE-936729077",,7740.95,,,,,,,,,,,,0,,DEBIT,CONVERSION
BALANCE-930193059,27-03-2023,"27-03-2023 06:30:29.854",-2823.69,BRL,"2.880,16 BRL convertidos para 500,00 EUR (fee: 56,47 BRL)",,7796.71,BRL,EUR,0.17707,,,,,,,,,56.47,500.00,DEBIT,CONVERSION
FEE-BALANCE-930193059,27-03-2023,"27-03-2023 06:30:29.853",-56.47,BRL,"Wise Charges for: BALANCE-930193059",,10620.40,,,,,,,,,,,,0,,DEBIT,CONVERSION
BALANCE-925706662,24-03-2023,"24-03-2023 11:28:46.217",-2277.58,BRL,"2.323,13 BRL convertidos para 400,00 EUR (fee: 45,55 BRL)",,10676.87,BRL,EUR,0.17563,,,,,,,,,45.55,400.00,DEBIT,CONVERSION
FEE-BALANCE-925706662,24-03-2023,"24-03-2023 11:28:46.216",-45.55,BRL,"Wise Charges for: BALANCE-925706662",,12954.45,,,,,,,,,,,,0,,DEBIT,CONVERSION
TRANSFER-640666015,23-03-2023,"23-03-2023 15:33:07.108",13000.00,BRL,"Dinheiro adicionado à conta",,13000.00,,,,,,,,,,,,0.00,,CREDIT,MONEY_ADDED
